,competeRange,awardLevel,labels,user_id
0,3,2,6,3078
1,2,6,5,3078
2,2,3,0,3079
3,3,3,0,3079
4,2,4,4,3189
5,1,6,2,3965
7,3,3,0,4122
9,2,4,4,4122
6,3,4,4,4122
8,3,4,4,4122
12,3,2,6,4124
10,3,4,4,4124
11,3,4,4,4124
14,2,6,5,4238
13,6,6,1,4238
15,6,6,1,4238
16,1,6,2,4317
17,3,2,6,4330
18,1,3,3,4330
20,2,3,0,4348
19,3,3,0,4348
21,1,3,3,4398
